edgeID,n1,n2,triL,triR,len,mx,my,nLx,nLy
0,0,130,120,-1,0.0303030303030305,0.484848484848485,-0.5,0.0,-1.0
1,0,140,269,-1,0.0303030303030303,0.5,-0.484848484848485,1.0,-0.0
2,0,338,120,269,0.0291962526226148,0.489677565892657,-0.489677565892657,0.707106781186549,0.707106781186546
3,1,58,169,-1,0.0303030303030303,0.484848484848485,0.5,0.0,1.0
4,1,171,14,-1,0.0303030303030305,0.5,0.484848484848485,1.0,-0.0
5,1,339,14,169,0.0291962526226147,0.489677565892657,0.489677565892657,-0.707106781186547,0.707106781186548
6,2,17,339,-1,0.0303030303030303,-0.5,0.484848484848485,-1.0,-0.0
7,2,89,44,-1,0.0303030303030305,-0.484848484848485,0.5,0.0,1.0
8,2,337,44,339,0.0291962526226147,-0.489677565892657,0.489677565892657,-0.707106781186547,-0.707106781186547
9,3,48,280,-1,0.0303030303030306,-0.5,-0.484848484848485,-1.0,-0.0
10,3,99,281,-1,0.0303030303030303,-0.484848484848485,-0.5,0.0,-1.0
11,3,336,280,281,0.0291962526226148,-0.489677565892657,-0.489677565892657,0.707106781186548,-0.707106781186548
12,4,8,466,-1,0.0314801014611184,-0.198761254014997,0.0156912302062399,0.996898324843103,-0.0787002536527958
13,4,98,5,-1,0.0314801014611184,-0.198761254014997,-0.01569123020624,0.996898324843103,0.0787002536527958
14,4,172,287,466,0.030357933688005,-0.212527912575724,0.0085704399505714,0.564626040668753,0.825346856902435
15,4,173,5,287,0.0303894510867188,-0.212878086008611,-0.0080644023394694,-0.530736953191882,0.847536598924553
16,5,90,480,-1,0.0314801014611184,-0.0156912302062399,-0.198761254014997,0.0787002536527959,0.996898324843103
17,5,139,110,-1,0.0314801014611185,0.01569123020624,-0.198761254014997,-0.0787002536527966,0.996898324843103
18,5,202,110,327,0.0300662949399417,0.008171531367719,-0.212618304084158,-0.839365416281806,-0.543567565211603
19,5,203,327,480,0.0301765455094103,-0.0085705479689032,-0.212417796995969,-0.823009843329944,0.568027110076641
20,6,57,402,-1,0.0314801014611185,0.198761254014997,0.01569123020624,-0.996898324843103,-0.0787002536527957
21,6,131,332,-1,0.0314801014611183,0.198761254014997,-0.0156912302062399,-0.996898324843103,0.0787002536527954
22,6,192,145,402,0.0303857358187142,0.212529274705259,0.0085930501378334,-0.565597633646314,0.824681342588572
23,6,193,145,332,0.0303364163613319,0.212880495482151,-0.0080104541410772,-0.528108135494061,-0.849177129475933
24,7,16,29,-1,0.0314801014611184,-0.01569123020624,0.198761254014997,0.0787002536527958,-0.996898324843103
25,7,49,1,-1,0.0314801014611184,0.0156912302062399,0.198761254014997,-0.0787002536527958,-0.996898324843103
26,7,182,29,258,0.0309655468696796,-0.0088889092476376,0.212676891007729,0.818773914187961,0.574116083597495
27,7,183,1,258,0.0309323111983499,0.00866214497868,0.212812853444343,-0.828444622982244,0.560070983583159
28,8,9,63,-1,0.0312437472945285,-0.193873633664251,0.0465722152529673,0.972338861743866,-0.233574694568231
29,8,172,466,467,0.0309984865303358,-0.211289166590721,0.0242616701568113,-0.459428252969704,0.888214884120507
30,8,174,63,467,0.0313525498758829,-0.208972804573629,0.0420892949116567,-0.682996090688799,-0.730422028764068
31,9,10,458,-1,0.0314773248777725,-0.184201584614179,0.0763024949150444,0.923872970657515,-0.382699273697322
32,9,174,63,459,0.0315012086712327,-0.205323930207886,0.0572790497521441,-0.284618941964881,0.958640734516738
33,9,175,458,459,0.0313649634100694,-0.199961273634778,0.0740558922100273,-0.783927081682851,-0.620852905770932
34,10,11,58,-1,0.0312438755681419,-0.170017280482343,0.104163714398341,0.852691570394623,-0.522414668417677
35,10,175,454,458,0.0318380289427716,-0.193938098950449,0.088596417031617,0.141126996841127,-0.989991500348667
36,10,176,58,454,0.0306423331887537,-0.185489225777577,0.104307421596846,-0.87881048595563,-0.477170964932307
37,11,12,60,-1,0.0314731358238107,-0.151638753636073,0.129452882648678,0.760551707057832,-0.649277368226722
38,11,176,57,58,0.0309452253491636,-0.17732809633007,0.117628116258552,-0.0092878430764965,-0.999956867055268
39,11,177,57,60,0.0307138634667157,-0.166778140929036,0.132031208286833,0.947246460384219,0.320506073717128
40,12,13,39,-1,0.0314731358238108,-0.129452882648678,0.151638753636072,0.649277368226723,-0.760551707057831
41,12,177,60,270,0.030714739829776,-0.156560743530273,0.143999681875464,0.167888489529361,0.985805992619009
42,12,178,39,270,0.0309748801333796,-0.144502475989997,0.156599218434895,-0.980011036829141,-0.198943126780172
43,13,14,182,-1,0.0312438755681419,-0.104163714398341,0.170017280482342,0.522414668417677,-0.852691570394623
44,13,178,39,240,0.0316920476308761,-0.132534002401366,0.166816615833658,0.313041609466095,0.949739412019358
45,13,179,182,240,0.0293768822831473,-0.117606651283571,0.176544083496835,-0.999965368716179,-0.0083223415164008
46,14,15,282,-1,0.0314773248777725,-0.0763024949150445,0.184201584614179,0.382699273697322,-0.923872970657515
