cellID,cx,cy,p1,p2,p3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
626,-0.167227678875928,0.166822160577178,346,177,178,38,270,354,-0.957535331036599,-0.288315954842307,0.722454602933381,-0.69141835866599,0.284557743622452,0.958658902083791
627,-0.242824434865477,0.386292212155441,791,683,684,1238,1124,1303,0.860777821748042,-0.508980885286172,-0.0306982177938565,0.999528698649659,-0.858037725815777,-0.51358666364781
628,0.363959474652362,-0.437573799652058,615,461,462,750,142,538,-0.874194831705194,0.485575324970213,0.058418329396432,-0.998292191089628,0.818640415262602,0.574306425611515
629,0.439010817018332,-0.333333333333334,619,466,467,880,431,894,-0.50150375675163,-0.865155466932968,1.0,-0.0,-0.501503756751631,0.865155466932967
630,-0.439165989708787,0.395216680305335,563,408,409,1032,527,33,0.512134310166459,0.858905377995926,-0.999987713555969,-0.0049570895801866,0.51040064294268,-0.85993673237262
631,-0.464434399233191,0.441845348620406,492,243,244,424,43,680,0.292102951338431,0.956386880827721,-0.991356939752015,-0.131192294002045,0.529476310551993,-0.848324723537072
632,-0.106060606060606,-0.46514903829619,446,285,286,102,96,644,-0.86515546693297,0.501503756751627,3.66373598126303e-15,-1.0,0.865155466932966,0.501503756751633
633,-0.101474121087215,-0.244144852710906,530,373,374,2002,520,863,0.36818657741844,-0.929751926165735,0.443744271191087,0.896153458836762,-0.980870702638171,-0.194660382990738
634,0.227272727272727,-0.43029807659238,610,457,611,237,1094,1338,-0.865155466932967,-0.501503756751632,0.865155466932965,-0.501503756751635,-7.327471962526e-15,1.0
635,0.333445615249972,-0.456117610575213,460,300,461,748,132,430,-0.865155466932968,-0.501503756751631,0.868161509112954,-0.496281768851848,-0.0311880111200862,0.999513535657408
636,-0.15134969090441,-0.438620390822082,598,444,445,870,789,582,-0.867661316396529,0.49715575027253,-7.327471962525981e-15,-1.0,0.88114339251067,0.472849153361606
637,-0.181818181818182,-0.456436297870237,444,443,283,645,568,788,-7.32747196252599e-15,1.0,-0.865155466932965,-0.501503756751636,0.865155466932967,-0.501503756751632
638,-0.0602676675800782,-0.259067717928332,529,372,373,1001,587,2003,0.77190509291177,-0.635737782058666,0.136199328613686,0.990681453790865,-0.888164139106292,-0.459526345279115
639,0.0606060606060602,-0.456436297870237,451,291,452,604,596,428,-0.865155466932964,-0.501503756751637,0.865155466932964,-0.501503756751637,0.0,1.0
640,0.46514903829619,0.257575757575757,486,328,329,641,159,528,-0.501503756751636,-0.865155466932965,1.0,-3.66373598126301e-15,-0.50150375675163,0.865155466932968
641,0.456436297870237,0.242424242424242,486,485,328,950,588,640,-1.0,-1.83186799063149e-15,0.501503756751638,-0.865155466932963,0.501503756751636,0.865155466932965
642,-0.0909090909090904,0.439010817018332,552,396,397,207,775,875,0.865155466932968,-0.50150375675163,-3.66373598126304e-15,1.0,-0.865155466932966,-0.501503756751633
643,0.0210507276524039,0.264391796106595,508,351,352,1203,486,1069,-0.690555038870131,0.723279847839736,-0.172124622540285,-0.985075182062448,0.906104949775432,0.423052975397246
644,-0.0909090909090912,-0.456436297870237,447,446,286,1062,632,607,0.0,1.0,-0.865155466932966,-0.501503756751633,0.865155466932967,-0.501503756751632
645,-0.181818181818182,-0.439010817018332,597,443,444,871,637,870,-0.86515546693297,0.501503756751626,7.32747196252599e-15,-1.0,0.865155466932963,0.501503756751638
646,-0.439010817018332,0.181818181818182,570,415,416,872,763,896,0.501503756751632,0.865155466932967,-1.0,-1.8318679906315103e-15,0.501503756751633,-0.865155466932966
647,-0.456436297870237,0.151515151515152,416,253,417,762,66,418,-0.50150375675163,0.865155466932968,-0.501503756751631,-0.865155466932967,1.0,-0.0
648,0.46514903829619,0.045454545454545,479,321,322,649,471,673,-0.501503756751626,-0.86515546693297,1.0,5.495603971894541e-15,-0.501503756751636,0.865155466932965
649,0.456436297870237,0.0303030303030299,479,478,321,924,324,648,-1.0,-0.0,0.501503756751626,-0.86515546693297,0.501503756751626,0.86515546693297
650,-0.46514903829619,-0.136363636363636,426,262,263,524,311,651,0.501503756751628,0.865155466932969,-1.0,-3.6637359812630205e-15,0.501503756751635,-0.865155466932965
651,-0.456436297870237,-0.151515151515151,426,263,427,650,546,1036,-0.501503756751635,0.865155466932965,-0.501503756751635,-0.865155466932965,1.0,-0.0
652,0.46320107728462,0.379610690049974,490,332,333,707,293,654,-0.496191854356758,-0.868212902271097,0.999948849377112,-0.0101142784908025,-0.472325768146909,0.881424057275743
653,0.463489856513136,0.410492480189379,491,333,334,654,239,392,-0.509159072305085,-0.860672434256742,0.9998717803429,0.0160132093572622,-0.51099218279972,0.859585358831558
654,0.454400046135016,0.395070664417032,491,490,333,956,652,653,-0.999404232922194,0.0345134642885996,0.472325768146909,-0.881424057275743,0.509159072305085,0.860672434256742
655,0.379935891773311,0.465046404855154,381,214,215,393,214,708,0.850471434425319,-0.526021234577598,0.0066020732249357,0.999978206077079,-0.864624730363265,-0.502418227818469
656,-0.0368851910093452,0.231560775613354,350,181,182,657,206,745,-0.924101112023769,0.38214805345106,0.173553469079218,-0.984824447995971,0.744268534125792,0.667880490140447
657,-0.0574440244262257,0.237647430368001,350,349,181,948,561,656,-0.163682252336329,0.986513112061926,-0.676438697328521,-0.736498940091901,0.924101112023769,-0.38214805345106
658,-0.46514903829619,-0.196969696969696,428,264,265,659,75,289,0.501503756751628,0.865155466932969,-1.0,-3.6637359812630205e-15,0.501503756751634,-0.865155466932966
659,-0.456436297870237,-0.181818181818181,428,427,264,572,546,658,1.0,-0.0,-0.501503756751628,0.865155466932969,-0.501503756751628,-0.865155466932969
660,-0.464311195248594,-0.441374008154046,495,272,273,661,84,536,0.548929303065847,0.835868781708973,-0.99048814586052,0.137598084687942,0.301141146468252,-0.953579577121798
661,-0.454233955055038,-0.426758233325182,495,435,272,828,365,660,0.998910782953827,0.0466609869009739,-0.507765240417703,0.861495479166056,-0.548929303065847,-0.835868781708973
662,-0.232629828746168,0.036585962204519,341,172,174,179,467,663,-0.638262216105052,-0.769819032950386,0.991664356025936,-0.12884799178748,-0.375888305698487,0.926664978101105
663,-0.239650493523184,0.0573386223169575,341,174,343,662,522,535,0.375888305698487,-0.926664978101105,0.71927548918839,0.694724960436,-0.987594847755802,0.157023618243225
664,-0.202198214711325,-0.1704052797282,533,376,377,1150,262,910,-0.0687999346893899,-0.997630477174157,0.824619779173253,0.565687386987067,-0.903087236260155,0.429457150020808
665,-0.412872595740475,-0.106060606060606,703,579,580,1187,1057,850,0.501503756751635,0.865155466932965,-1.0,5.4956039718945304e-15,0.501503756751627,-0.86515546693297
666,-0.41092214191943,-0.464670933207996,436,275,276,667,86,312,-0.845822365071557,0.533464644324962,-0.033141342828342,-0.99945067481869,0.853162481126511,0.521645263371629
667,-0.427348774152951,-0.454828539956994,436,495,275,829,380,666,0.107712081314175,0.994182129963604,-0.848513074742864,-0.529174415472262,0.845822365071557,-0.533464644324962
668,-0.303030303030303,0.439010817018332,559,403,404,835,717,50,0.865155466932967,-0.501503756751633,0.0,1.0,-0.865155466932967,-0.501503756751631
669,-0.333350892718634,0.438488373997022,560,404,405,50,519,849,0.872086354236324,-0.489352011086904,-0.0360524306746043,0.999349899806095,-0.852242757438205,-0.523146520961503
670,-0.465115127209369,0.348800519805994,410,246,247,671,54,813,0.525898806457122,0.850547144705674,-0.999994701033114,0.0032554424727653,0.501503756751631,-0.865155466932968
671,-0.456435768473432,0.364240918841156,410,409,246,785,518,670,0.999994838676868,0.0032128833817375,-0.502418227818468,0.864624730363266,-0.525898806457122,-0.850547144705674
672,0.46514903829619,0.0757575757575754,480,322,323,673,447,727,-0.501503756751637,-0.865155466932964,1.0,-7.327471962526041e-15,-0.501503756751626,0.865155466932971
673,0.456436297870237,0.0606060606060602,480,479,322,827,648,672,-1.0,-0.0,0.501503756751636,-0.865155466932965,0.501503756751637,0.865155466932964
674,0.20807876942984,0.106393571076772,358,189,190,675,155,404,0.0695655141321769,0.997577385090262,-0.885539176447151,-0.464564706986338,0.860325420319222,-0.509745202186891
675,0.206919060968439,0.127428230187391,358,357,189,1110,461,674,0.851621011940513,0.524158041072935,-0.922986182718464,0.384833089157883,-0.0695655141321769,-0.997577385090262
676,0.454857450765079,-0.427339368000906,494,306,464,124,304,565,0.532398607181343,-0.846493782063026,0.544433902954185,0.838803746602311,-0.995316489775836,0.0966699807608809
677,0.426286054466292,-0.437527131245937,646,463,494,678,689,565,-0.872168269035991,0.489206000051884,0.0359570118777146,-0.999353337562259,0.728529840919801,0.685014066198184
678,0.410021763631998,-0.427904219689145,646,616,463,967,591,677,0.237350054261496,0.971424187336338,-0.893911339456219,-0.448243814448776,0.872168269035991,-0.489206000051884
679,0.186096299341246,-0.15925161843414,366,365,197,794,474,584,0.829586787501273,-0.558377795048583,0.0553766766409594,0.998465534549993,-0.955297996868623,-0.295644612971041
680,-0.455017974036754,0.427398918011136,492,244,408,631,397,1015,-0.529476310551993,0.848324723537072,-0.54606427545557,-0.837743282319341,0.994568284859067,-0.104086150627703
681,-0.426066255252448,0.437545170181274,647,407,492,1014,723,1015,0.881460287184466,-0.472258151985415,-0.0406739877540848,0.999172470957933,-0.721105738720822,-0.692825023785875
682,0.46514903829619,-0.136363636363636,473,315,316,557,196,683,-0.501503756751643,-0.86515546693296,1.0,-5.495603971894481e-15,-0.501503756751625,0.865155466932971
683,0.456436297870237,-0.121212121212121,473,316,474,682,504,900,0.501503756751625,-0.865155466932971,0.501503756751625,0.865155466932971,-1.0,3.66373598126307e-15
684,0.46514903829619,-0.196969696969697,471,313,314,721,114,685,-0.501503756751631,-0.865155466932967,1.0,-0.0,-0.501503756751632,0.865155466932967
685,0.456436297870237,-0.181818181818182,471,314,472,684,245,852,0.501503756751632,-0.865155466932967,0.501503756751628,0.865155466932969,-1.0,-3.6637359812630205e-15
686,-0.257575757575758,-0.43029807659238,594,441,595,998,569,1368,-0.865155466932967,-0.501503756751631,0.865155466932967,-0.501503756751631,0.0,1.0
687,-0.435838831802861,-0.395299310957224,589,434,435,902,478,711,0.466500377962237,0.884520998824273,-0.999721010528881,0.023619930294431,0.447244341757473,-0.894411817210576
688,0.441795343591235,-0.464103158407862,494,303,304,689,415,613,-0.834520914043477,0.550976264483362,-0.125930128586267,-0.992039113500192,0.949057633710532,0.31510253552735
689,0.427096426004612,-0.454078211844798,494,463,303,677,612,688,-0.0359570118777146,0.999353337562259,-0.863355624121619,-0.504595943599995,0.834520914043477,-0.550976264483362
690,-0.46514903829619,0.0151515151515156,421,257,258,72,343,691,0.501503756751633,0.865155466932966,-1.0,-1.8318679906315103e-15,0.501503756751632,-0.865155466932967
691,-0.456436297870237,4.36572074787496e-16,421,258,422,690,178,534,-0.501503756751632,0.865155466932967,-0.501503756751633,-0.865155466932967,1.0,-0.0
692,0.46514903829619,-0.0151515151515155,477,319,320,598,345,693,-0.501503756751629,-0.865155466932969,1.0,3.6637359812630205e-15,-0.501503756751635,0.865155466932965
693,0.456436297870237,-3.13406707993143e-16,477,320,478,692,324,325,0.501503756751635,-0.865155466932965,0.501503756751637,0.865155466932964,-1.0,-0.0
694,0.439010817018332,0.303030303030303,640,487,488,1013,738,778,-0.501503756751633,-0.865155466932966,1.0,-0.0,-0.501503756751635,0.865155466932965
695,0.121212121212121,0.456436297870237,389,223,390,780,21,1020,0.865155466932969,0.501503756751628,-0.865155466932969,0.501503756751629,-3.66373598126304e-15,-1.0
696,-0.402875308542764,0.12081894142739,696,695,572,1512,873,897,0.999354341210983,-0.0359291066234878,-0.467683273325566,0.883896122772062,-0.497540947854197,-0.867440490874358
697,-0.439010817018332,-0.0303030303030299,577,422,423,932,427,866,0.501503756751632,0.865155466932967,-1.0,-0.0,0.501503756751632,-0.865155466932967
698,-0.439010817018332,0.212121212121213,569,414,415,888,743,872,0.501503756751633,0.865155466932966,-1.0,-1.8318679906315103e-15,0.501503756751632,-0.865155466932967
699,-0.269472881914193,0.13992353836667,1107,897,1063,1260,1984,1422,0.850350389968364,0.526216889011225,-0.964008530307051,0.265871310026559,0.168741680853044,-0.985660309205402
700,-0.43029807659238,-0.196969696969696,583,582,428,1268,572,1004,1.0,9.15933995315759e-15,-0.50150375675163,0.865155466932968,-0.501503756751628,-0.865155466932969
701,-0.412872595740474,-0.227272727272727,707,583,584,1269,1005,1290,0.501503756751634,0.865155466932965,-1.0,-1.8318679906314803e-15,0.501503756751633,-0.865155466932966
702,-0.46514903829619,-0.287878787878787,431,267,268,703,78,715,0.501503756751628,0.865155466932969,-1.0,-3.6637359812630205e-15,0.501503756751635,-0.865155466932965
703,-0.456436297870237,-0.272727272727272,431,430,267,614,615,702,1.0,-0.0,-0.501503756751628,0.865155466932969,-0.501503756751628,-0.865155466932969
704,-0.0151515151515155,-0.46514903829619,449,288,289,705,109,108,-0.865155466932968,0.50150375675163,3.66373598126301e-15,-1.0,0.865155466932965,0.501503756751636
705,-0.0303030303030306,-0.456436297870237,449,448,288,513,512,704,0.0,1.0,-0.865155466932967,-0.501503756751631,0.865155466932968,-0.50150375675163
706,0.464244913359904,0.348760639590336,489,331,332,294,260,707,-0.492822841144321,-0.870129672661747,0.998642030273116,0.0520969804498089,-0.515613986940208,0.856820994415766
707,0.454554145830553,0.364276771141988,489,332,490,706,652,842,0.515613986940208,-0.856820994415766,0.496191854356758,0.868212902271097,-0.998273090815117,-0.0587438180103573
708,0.364240918841156,0.456435768473432,382,381,215,820,655,200,0.0032128833817392,-0.999994838676868,0.864624730363265,0.502418227818469,-0.850547144705673,0.525898806457124
709,0.437545170181274,0.426066255252448,645,491,493,787,392,843,-0.472258151985419,-0.881460287184464,0.999172470957933,0.0406739877540799,-0.692825023785873,0.721105738720823
710,-0.303030303030303,-0.439010817018332,593,439,440,893,603,999,-0.865155466932967,0.501503756751631,0.0,-1.0,0.865155466932968,0.50150375675163
711,-0.428255820931185,-0.409822582877384,589,435,644,687,828,989,-0.447244341757473,0.894411817210576,-0.495153563897189,-0.868805471990084,0.976064148457473,-0.217482822530855
712,0.386001393598291,0.332966736147891,866,758,759,1387,1295,1595,-0.509626791114584,-0.86039556820003,0.999185951783342,0.0403414645100633,-0.499092930013011,0.866548467894917
713,0.169744758427838,0.201963644175548,512,355,356,1047,275,509,-0.421555957222449,0.906802390231888,-0.573147924613885,-0.819451924465857,0.997347648157985,0.0727850857919173
714,-0.46514903829619,-0.318181818181818,432,268,269,715,92,313,0.501503756751631,0.865155466932967,-1.0,1.8318679906315103e-15,0.501503756751631,-0.865155466932968
715,-0.456436297870237,-0.303030303030302,432,431,268,479,702,714,1.0,1.8318679906315e-15,-0.501503756751635,0.865155466932965,-0.501503756751631,-0.865155466932967
716,-0.318181818181818,0.46514903829619,404,237,238,717,241,519,0.865155466932966,-0.501503756751633,1.8318679906315103e-15,1.0,-0.865155466932968,-0.501503756751631
717,-0.303030303030303,0.456436297870237,404,403,237,668,623,716,0.0,-1.0,0.865155466932966,0.501503756751634,-0.865155466932966,0.501503756751633
718,-0.46514903829619,-0.0757575757575753,424,260,261,719,285,765,0.501503756751632,0.865155466932967,-1.0,-1.8318679906315103e-15,0.501503756751632,-0.865155466932967
719,-0.456436297870237,-0.0606060606060601,424,423,260,496,378,718,1.0,-0.0,-0.501503756751632,0.865155466932967,-0.501503756751632,-0.865155466932967
720,0.46514903829619,-0.227272727272728,470,312,313,134,140,721,-0.501503756751631,-0.865155466932967,1.0,1.8318679906315103e-15,-0.50150375675163,0.865155466932968
721,0.456436297870237,-0.212121212121212,470,313,471,720,684,1016,0.50150375675163,-0.865155466932968,0.501503756751631,0.865155466932967,-1.0,1.8318679906315103e-15
722,-0.44180380462874,0.464090944985957,492,241,242,723,45,424,0.833191982671965,-0.5529838334085,0.127549051469853,0.991832263777067,-0.949381341443247,-0.314125880053556
723,-0.427057227399205,0.454125847339065,492,407,241,681,425,722,0.0406739877540848,-0.999172470957933,0.859585358831557,0.510992182799722,-0.833191982671965,0.5529838334085
724,0.41109900973641,0.464717102271302,380,213,214,725,261,393,0.837743282319342,-0.546064275455569,0.0299279157178821,0.999552059605093,-0.858716249908978,-0.51245136563606
725,0.427398918011136,0.455017974036754,380,493,213,843,17,724,-0.104086150627703,-0.994568284859067,0.848324723537073,0.529476310551991,-0.837743282319342,0.546064275455569
726,0.46514903829619,0.106060606060606,481,323,324,727,148,164,-0.501503756751627,-0.86515546693297,1.0,7.32747196252603e-15,-0.501503756751637,0.865155466932964
727,0.456436297870237,0.0909090909090905,481,480,323,1084,672,726,-1.0,-0.0,0.501503756751626,-0.865155466932971,0.501503756751627,0.86515546693297
728,-0.138296132762983,0.189313345106283,347,178,179,354,240,729,-0.998199293908453,-0.0599847450662786,0.545962123313433,-0.83780985904147,0.395142310920348,0.918619918203675
729,-0.12755558896917,0.207112334604332,347,179,348,728,180,964,-0.395142310920348,-0.918619918203675,0.997577385090262,-0.0695655141321799,-0.509209878981592,0.860642375872553
730,-0.189240865038189,-0.138041983014651,377,208,209,262,77,731,0.0699778942345723,-0.997548542336911,0.830576863726041,0.556904007386384,-0.917946951508929,0.396703156296323
731,-0.207619643627305,-0.127817237141469,377,209,378,730,310,250,0.917946951508929,-0.396703156296323,0.0386658173221015,0.999252197681253,-0.834267690301726,-0.551359611250792
732,0.43029807659238,0.0151515151515149,630,478,631,325,924,1299,0.501503756751634,-0.865155466932966,0.50150375675163,0.865155466932968,-1.0,1.09912079437891e-14
733,0.289840254865253,0.047755725526522,656,516,517,1467,1117,1442,0.30257647467745,0.953125110870429,-0.98466846945395,-0.174436249854254,0.665001532660502,-0.746841992364639
734,-0.0461724192430096,-0.290787711738236,661,528,529,1456,1001,1172,0.706632845755228,-0.707580399177273,0.0934301359730616,0.995625838200303,-0.94590403410382,-0.324446541461177
735,0.0909090909090904,-0.439010817018332,606,452,453,1048,549,830,-0.865155466932971,0.501503756751626,3.66373598126306e-15,-1.0,0.865155466932965,0.501503756751634
736,-0.19009789873199,0.137910744319099,345,176,177,737,57,38,-0.924911133588299,-0.380183370183925,0.806733733379983,-0.59091512370796,0.0819793724064938,0.996634026360648
737,-0.208950231635182,0.127541076045839,345,344,176,1072,41,736,-0.83369550403169,0.552224416842779,0.0648101543564397,-0.997897611928345,0.924911133588299,0.380183370183925
738,0.456436297870237,0.303030303030303,487,330,488,301,11,694,0.501503756751636,-0.865155466932965,0.501503756751637,0.865155466932964,-1.0,-0.0
739,0.303030303030303,0.456436297870237,384,383,217,854,300,768,0.0,-1.0,0.865155466932967,0.501503756751631,-0.865155466932967,0.501503756751631
740,-0.223915757275047,-0.0728909741713866,379,210,211,79,357,741,-0.19491087615531,-0.980820957339498,0.95258954339827,0.30425838001323,-0.745564348958445,0.666433643780212
741,-0.238186908948666,-0.0573597735768825,379,211,342,740,510,525,0.745564348958445,-0.666433643780212,0.365716514707501,0.930726292134373,-0.98145034464915,-0.191716512038128
742,-0.46514903829619,0.227272727272728,414,250,251,59,337,743,0.501503756751632,0.865155466932967,-1.0,-0.0,0.501503756751632,-0.865155466932967
743,-0.456436297870237,0.212121212121213,414,251,415,742,455,698,-0.501503756751632,0.865155466932967,-0.501503756751633,-0.865155466932966,1.0,1.8318679906315103e-15
744,-0.0004296188630156,0.236530821739034,351,182,183,745,258,486,-0.891048953176681,0.453907218540024,0.0077464496102622,-0.999969995809092,0.876029469826244,0.482257574327194
745,-0.0195487565683787,0.244707089750363,351,350,182,560,656,744,-0.210934116800951,0.977500280495818,-0.744268534125792,-0.667880490140447,0.891048953176681,-0.453907218540024
746,0.439010817018332,-0.272727272727273,621,468,469,915,553,979,-0.501503756751631,-0.865155466932967,1.0,-0.0,-0.501503756751631,0.865155466932967
747,0.166666666666666,-0.43029807659238,609,608,455,1330,1052,375,-5.49560397189449e-15,1.0,-0.865155466932968,-0.501503756751631,0.865155466932964,-0.501503756751637
748,0.318181818181818,-0.46514903829619,460,299,300,749,346,635,-0.865155466932965,0.501503756751636,-1.8318679906315103e-15,-1.0,0.865155466932968,0.501503756751631
749,0.303030303030303,-0.456436297870237,460,459,299,751,495,748,1.83186799063149e-15,1.0,-0.865155466932964,-0.501503756751638,0.865155466932965,-0.501503756751636
750,0.348370980206924,-0.429676597074817,614,461,615,430,628,990,-0.852230391150724,-0.523166665986169,0.874194831705194,-0.485575324970213,-0.0083125525614205,0.99996545013811
751,0.303030303030303,-0.439010817018332,613,459,460,1079,749,860,-0.865155466932965,0.501503756751635,-1.83186799063149e-15,-1.0,0.865155466932967,0.501503756751632
752,0.46514903829619,-0.348484848484849,466,308,309,753,144,431,-0.50150375675163,-0.865155466932968,1.0,-0.0,-0.501503756751631,0.865155466932967
753,0.456414515064603,-0.36383200042647,466,465,308,966,498,752,-0.9999977622862,0.0021155194619059,0.514887412332315,-0.857257809892527,0.50150375675163,0.865155466932968
754,-0.463585571909224,-0.379758792108236,434,270,271,755,409,478,0.495733404553893,0.86847475012772,-0.999831827590473,0.0183389350043637,0.461099484439144,-0.887348446468441
755,-0.454967110034512,-0.364614194563511,434,433,270,908,411,754,0.998180887798976,0.0602902581919111,-0.522546031072612,0.852611075115883,-0.495733404553893,-0.86847475012772
756,0.0362769694869828,-0.231582165990599,370,201,202,757,449,116,0.925009084770915,-0.379944986927417,-0.161225697289115,0.986917562177125,-0.727180134637013,-0.686446685321807
757,0.057362640258325,-0.237709424579019,370,369,201,1100,234,756,0.163414259138462,-0.98655754009091,0.668801625048776,0.743440909778388,-0.925009084770915,0.379944986927417
758,0.136363636363636,-0.46514903829619,454,293,294,277,321,759,-0.865155466932964,0.501503756751637,-7.327471962526041e-15,-1.0,0.86515546693297,0.501503756751626
759,0.151515151515151,-0.456436297870237,454,294,455,758,475,1052,-0.86515546693297,-0.501503756751626,0.86515546693297,-0.501503756751627,0.0,1.0
760,0.429524720039728,0.348307728174499,642,641,489,977,517,842,-0.99995291911181,-0.0097035848927176,0.523134630250835,-0.852250056399131,0.48464176301118,0.874712730869636
761,0.201792844362345,0.169966823407692,513,356,357,1153,348,1111,0.0785569264943744,0.996909629454826,-0.821295918041298,-0.570502423315363,0.892453372208185,-0.451139644050751
762,-0.46514903829619,0.166666666666667,416,252,253,763,61,647,0.501503756751629,0.865155466932969,-1.0,-0.0,0.50150375675163,-0.865155466932968
763,-0.456436297870237,0.181818181818182,416,415,252,646,455,762,1.0,1.8318679906315103e-15,-0.501503756751631,0.865155466932967,-0.501503756751629,-0.865155466932969
764,-0.46514903829619,-0.106060606060606,425,261,262,765,73,524,0.501503756751635,0.865155466932965,-1.0,3.6637359812630205e-15,0.501503756751628,-0.865155466932969
765,-0.456436297870237,-0.0909090909090905,425,424,261,1056,718,764,1.0,-0.0,-0.501503756751632,0.865155466932967,-0.501503756751635,-0.865155466932965
766,-0.257575757575757,0.46514903829619,402,235,236,450,419,767,0.865155466932966,-0.501503756751633,1.8318679906315103e-15,1.0,-0.865155466932968,-0.501503756751631
767,-0.272727272727272,0.456436297870237,402,236,403,766,623,974,0.865155466932968,0.501503756751631,-0.865155466932969,0.501503756751629,0.0,-1.0
768,0.287878787878788,0.46514903829619,384,217,218,739,16,769,0.865155466932967,-0.501503756751631,0.0,1.0,-0.865155466932967,-0.501503756751631
769,0.272727272727273,0.456436297870237,384,218,385,768,508,1026,0.865155466932967,0.501503756751631,-0.865155466932967,0.501503756751631,0.0,-1.0
770,-0.348484848484849,-0.46514903829619,438,277,278,438,81,771,-0.865155466932967,0.501503756751631,0.0,-1.0,0.865155466932967,0.501503756751631
771,-0.333333333333334,-0.456436297870237,438,278,439,770,602,958,-0.865155466932967,-0.501503756751631,0.865155466932967,-0.501503756751631,0.0,1.0
772,0.43029807659238,0.166666666666666,635,483,636,1082,592,599,0.50150375675163,-0.865155466932968,0.501503756751633,0.865155466932966,-1.0,-1.0991207943789e-14
773,0.245425431111763,0.117627310131416,1104,358,515,1624,555,2074,-0.447672128608986,0.894197777489242,-0.268568814329576,-0.963260500575834,0.999980595406176,-0.0062296718299651
774,-0.106060606060606,0.46514903829619,397,230,231,775,355,530,0.86515546693297,-0.501503756751626,-5.49560397189452e-15,1.0,-0.865155466932965,-0.501503756751635
775,-0.0909090909090904,0.456436297870237,397,396,230,642,42,774,3.66373598126304e-15,-1.0,0.865155466932969,0.501503756751629,-0.86515546693297,0.501503756751626
776,-0.166666666666666,0.46514903829619,399,232,233,777,211,489,0.865155466932969,-0.501503756751629,-3.6637359812630205e-15,1.0,-0.865155466932966,-0.501503756751634
777,-0.151515151515151,0.456436297870237,399,398,232,610,210,776,-3.6637359812630505e-15,-1.0,0.865155466932971,0.501503756751626,-0.865155466932969,0.501503756751629
778,0.430143627802686,0.318107458814997,640,488,641,694,517,1294,0.501503756751635,-0.865155466932965,0.489390766489885,0.872064606364943,-0.999881382171037,-0.0154019994720168
779,0.227272727272728,0.43029807659238,541,386,542,1098,370,1362,0.865155466932967,0.501503756751631,-0.865155466932967,0.501503756751631,0.0,-1.0
780,0.136363636363637,0.46514903829619,389,222,223,781,25,695,0.865155466932965,-0.501503756751635,5.49560397189452e-15,1.0,-0.865155466932969,-0.501503756751628
781,0.151515151515152,0.456436297870237,389,388,222,532,166,780,-1.8318679906315e-15,-1.0,0.865155466932966,0.501503756751633,-0.865155466932965,0.501503756751635
782,0.0757575757575761,0.46514903829619,391,224,225,783,373,279,0.865155466932967,-0.501503756751632,-3.6637359812630205e-15,1.0,-0.865155466932966,-0.501503756751633
783,0.0909090909090912,0.456436297870237,391,390,224,24,21,782,1.8318679906315103e-15,-1.0,0.865155466932966,0.501503756751634,-0.865155466932967,0.501503756751632
784,-0.405104743995842,0.365429289838063,1087,564,688,1194,1182,2018,-0.593682918839033,0.804699069142475,-0.47078206099345,-0.882249540122725,0.996807840888077,0.0798381384054642
785,-0.439168725164419,0.36412977490725,564,409,410,33,671,443,0.5117015990282,0.859163240340265,-0.999994838676868,-0.0032128833817375,0.521932946240564,-0.852986517846938
786,0.395216680305335,0.439165989708787,536,380,381,841,393,840,0.858905377995925,-0.512134310166461,-0.0049570895801848,0.999987713555969,-0.859936732372621,-0.510400642942678
787,0.428052510307188,0.409727395760008,643,491,645,956,709,887,0.451894791780037,-0.89207123995905,0.472258151985419,0.881460287184464,-0.974961894240759,0.222371996389995
788,-0.166666666666667,-0.46514903829619,444,283,284,637,99,789,-0.865155466932967,0.501503756751632,0.0,-1.0,0.865155466932967,0.501503756751631
789,-0.151515151515152,-0.456436297870237,444,284,445,788,606,636,-0.865155466932967,-0.501503756751631,0.865155466932963,-0.501503756751638,7.327471962525981e-15,1.0
790,-0.46514903829619,0.106060606060607,418,254,255,791,64,488,0.501503756751633,0.865155466932966,-1.0,-0.0,0.50150375675163,-0.865155466932968
791,-0.456436297870237,0.121212121212122,418,417,254,980,66,790,1.0,-3.66373598126301e-15,-0.501503756751631,0.865155466932967,-0.501503756751633,-0.865155466932966
792,-0.265417953419447,0.0225386285547816,497,340,341,851,179,547,-0.74209271192917,-0.670297252643638,0.985718776856997,-0.168399800924901,-0.346225719001409,0.93815124127294
793,-0.386898176161304,0.211898530151006,800,692,693,1360,1197,1455,0.524985458141437,0.851111196460266,-1.0,-0.0,0.491734109995542,-0.870745407720817
794,0.202087800786015,-0.169894169911493,522,365,366,914,679,861,0.903907889990671,0.427727163519706,-0.829586787501273,0.558377795048583,0.0998073342484944,-0.995006781901616
795,0.223253845764347,-0.139011917753129,521,364,365,505,809,914,0.976201134498247,0.216867113699463,-0.817740892169361,0.575586512414995,-0.135297348991585,-0.990805040033532
796,0.227272727272728,0.46514903829619,386,219,220,797,493,819,0.865155466932967,-0.501503756751632,0.0,1.0,-0.865155466932967,-0.501503756751631
797,0.242424242424243,0.456436297870237,386,385,219,1098,508,796,0.0,-1.0,0.865155466932967,0.501503756751631,-0.865155466932967,0.501503756751632
