pointsID,x,y
0,0.5,-0.5
1,0.5,0.5
2,-0.5,0.5
3,-0.5,-0.5
4,-0.2,-2.4492935982947102e-17
5,1.22464679914735e-17,-0.2
6,0.2,0.0
7,-3.67394039744206e-17,0.2
8,-0.197522508029994,0.0313824604124799
9,-0.190224759298508,0.0617619700934547
10,-0.17817840992985,0.0908430197366341
11,-0.161856151034836,0.117484409060047
12,-0.14142135623731,0.141421356237309
13,-0.117484409060047,0.161856151034835
14,-0.0908430197366342,0.17817840992985
15,-0.0617619700934549,0.190224759298508
16,-0.0313824604124799,0.197522508029994
17,-0.5,0.46969696969697
18,-0.5,0.43939393939394
19,-0.5,0.409090909090909
20,-0.5,0.378787878787879
21,-0.5,0.348484848484849
22,-0.5,0.318181818181819
23,-0.5,0.287878787878788
24,-0.5,0.257575757575758
25,-0.5,0.227272727272728
26,-0.5,0.196969696969698
27,-0.5,0.166666666666667
28,-0.5,0.136363636363637
29,-0.5,0.106060606060607
30,-0.5,0.0757575757575764
31,-0.5,0.045454545454546
32,-0.5,0.0151515151515157
33,-0.5,-0.0151515151515146
34,-0.5,-0.0454545454545449
35,-0.5,-0.0757575757575752
36,-0.5,-0.106060606060606
37,-0.5,-0.136363636363636
38,-0.5,-0.166666666666666
39,-0.5,-0.196969696969696
40,-0.5,-0.227272727272727
41,-0.5,-0.257575757575757
42,-0.5,-0.287878787878787
43,-0.5,-0.318181818181818
44,-0.5,-0.348484848484848
45,-0.5,-0.378787878787878
46,-0.5,-0.409090909090909
47,-0.5,-0.439393939393939
48,-0.5,-0.469696969696969
49,0.0313824604124799,0.197522508029994
50,0.0617619700934548,0.190224759298508
51,0.0908430197366341,0.17817840992985
52,0.117484409060047,0.161856151034836
53,0.141421356237309,0.14142135623731
54,0.161856151034836,0.117484409060047
55,0.17817840992985,0.0908430197366341
56,0.190224759298508,0.0617619700934549
57,0.197522508029994,0.0313824604124799
58,0.46969696969697,0.5
59,0.439393939393939,0.5
60,0.409090909090909,0.5
61,0.378787878787879,0.5
62,0.348484848484849,0.5
63,0.318181818181818,0.5
64,0.287878787878788,0.5
65,0.257575757575758,0.5
66,0.227272727272728,0.5
67,0.196969696969697,0.5
68,0.166666666666667,0.5
69,0.136363636363637,0.5
70,0.106060606060606,0.5
71,0.0757575757575761,0.5
72,0.0454545454545459,0.5
73,0.0151515151515156,0.5
74,-0.0151515151515148,0.5
75,-0.0454545454545449,0.5
76,-0.0757575757575753,0.5
77,-0.106060606060605,0.5
78,-0.136363636363636,0.5
79,-0.166666666666666,0.5
80,-0.196969696969696,0.5
81,-0.227272727272727,0.5
82,-0.257575757575757,0.5
83,-0.287878787878788,0.5
84,-0.318181818181818,0.5
85,-0.348484848484848,0.5
86,-0.378787878787879,0.5
87,-0.409090909090909,0.5
88,-0.439393939393939,0.5
89,-0.46969696969697,0.5
90,-0.0313824604124798,-0.197522508029994
91,-0.0617619700934547,-0.190224759298508
92,-0.0908430197366341,-0.17817840992985
93,-0.117484409060047,-0.161856151034835
94,-0.14142135623731,-0.14142135623731
95,-0.161856151034836,-0.117484409060047
96,-0.17817840992985,-0.0908430197366341
97,-0.190224759298508,-0.0617619700934548
98,-0.197522508029994,-0.0313824604124799
99,-0.46969696969697,-0.5
100,-0.439393939393939,-0.5
101,-0.409090909090909,-0.5
102,-0.378787878787879,-0.5
103,-0.348484848484849,-0.5
104,-0.318181818181818,-0.5
105,-0.287878787878788,-0.5
106,-0.257575757575758,-0.5
107,-0.227272727272728,-0.5
108,-0.196969696969697,-0.5
109,-0.166666666666667,-0.5
110,-0.136363636363637,-0.5
111,-0.106060606060606,-0.5
112,-0.0757575757575761,-0.5
113,-0.0454545454545459,-0.5
114,-0.0151515151515156,-0.5
115,0.0151515151515148,-0.5
116,0.0454545454545449,-0.5
117,0.0757575757575753,-0.5
118,0.106060606060605,-0.5
119,0.136363636363636,-0.5
120,0.166666666666666,-0.5
121,0.196969696969696,-0.5
122,0.227272727272727,-0.5
123,0.257575757575757,-0.5
124,0.287878787878788,-0.5
125,0.318181818181818,-0.5
126,0.348484848484848,-0.5
127,0.378787878787879,-0.5
128,0.409090909090909,-0.5
