triID,cx,cy,v1,v2,v3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
1,0.491287259574047,-0.0303030303030307,320,155,156,254,0,346,-0.501503756751635,-0.865155466932965,1,-0,-0.501503756751628,0.865155466932969
2,0.0162355834566133,0.20771607163956,184,8,50,259,0,275,-0.828444622982244,0.560070983583159,-0.0787002536527958,-0.996898324843103,0.894343530010512,0.447380878366896
3,0.181818181818181,-0.491287259574047,296,121,122,118,0,236,-0.865155466932964,0.501503756751637,0,-1,0.865155466932969,0.501503756751629
4,-0.46514903829619,0.0757575757575763,420,256,257,489,176,69,0.50150375675163,0.865155466932968,-1,-0,0.501503756751633,-0.865155466932966
5,-0.0606060606060609,-0.456436297870237,448,288,449,608,513,953,-0.865155466932967,-0.501503756751632,0.865155466932967,-0.501503756751632,0,1
6,-0.207759560015739,-0.0158370883638063,174,99,5,71,0,288,-0.475329302231261,-0.879807964524272,0.996898324843103,0.0787002536527958,-0.530736953191882,0.847536598924553
7,-0.482574519148095,0.318181818181819,248,23,249,443,53,813,-0.501503756751631,0.865155466932967,-0.501503756751631,-0.865155466932967,1,-0
8,-0.287878787878788,-0.482574519148095,280,106,281,94,96,577,-0.865155466932968,-0.50150375675163,0.865155466932966,-0.501503756751633,0,1
9,-0.491287259574047,0.151515151515152,254,28,29,62,0,173,0.501503756751631,0.865155466932967,-1,-0,0.501503756751631,-0.865155466932968
10,-0.0303030303030299,0.491287259574048,229,75,76,367,0,31,0.865155466932967,-0.501503756751632,0,1,-0.865155466932968,-0.501503756751631
11,0.192690980465661,-0.0796292665165219,196,133,134,266,0,274,0.783537341839523,0.621344698169265,-0.923872970657515,0.382699273697322,0.143313474659734,-0.989677345391393
12,0.46514903829619,0.318181818181818,489,331,332,739,256,295,-0.501503756751637,-0.865155466932964,1,-3.66373598126301e-15,-0.501503756751629,0.865155466932969
13,0.303030303030303,-0.491287259574047,300,125,126,128,0,347,-0.865155466932969,0.501503756751629,0,-1,0.865155466932965,0.501503756751635
14,0.212121212121212,-0.491287259574048,297,122,123,236,0,120,-0.865155466932965,0.501503756751635,0,-1,0.865155466932965,0.501503756751635
15,0.493118377261771,0.483017367160761,340,172,2,478,0,170,-0.423745998461644,-0.905781060073429,1,-0,-0.707106781186547,0.707106781186548
16,0.467741576311321,0.485194222639409,340,59,213,170,157,413,0.905781060073433,0.423745998461635,-0.837279084484734,0.546775762707535,0.123250239336579,-0.992375623694716
17,0.287878787878788,0.482574519148095,219,218,65,769,163,159,0,-1,0.865155466932968,0.50150375675163,-0.865155466932966,0.501503756751633
18,0.441845348620406,0.464434399233191,494,213,214,517,171,726,0.956386880827721,-0.292102951338431,-0.131192294002043,0.991356939752016,-0.848324723537073,-0.529476310551991
19,0.181023161509458,0.385575699782703,778,670,671,1588,1359,1592,0.85902528621647,-0.511933157395291,-0.0549641286720852,0.99848832970612,-0.87348348050107,-0.486853786358633
20,0.15318121934595,0.153168490019287,188,54,189,35,213,372,-0.984334740665739,0.176309722699888,0.180394639155513,-0.983594313812332,0.701766711703133,0.712406823623533
21,0.166666666666667,0.482574519148095,222,69,223,395,23,167,0.865155466932969,0.501503756751629,-0.865155466932966,0.501503756751634,1.8318679906315e-15,-1
22,0.106060606060606,0.46514903829619,391,224,225,696,342,784,0.865155466932969,-0.501503756751629,-1.83186799063151e-15,1,-0.865155466932966,-0.501503756751634
23,0.151515151515152,0.491287259574047,223,69,70,21,0,26,0.865155466932966,-0.501503756751634,0,1,-0.865155466932969,-0.501503756751628
24,0.121212121212122,0.491287259574047,224,70,71,26,0,342,0.865155466932965,-0.501503756751635,0,1,-0.865155466932969,-0.501503756751629
25,0.0909090909090913,0.439010817018332,547,391,392,988,784,924,0.865155466932968,-0.501503756751631,-1.83186799063151e-15,1,-0.865155466932966,-0.501503756751633
26,0.136363636363637,0.482574519148095,224,223,70,781,23,24,-5.49560397189452e-15,-1,0.865155466932969,0.501503756751628,-0.865155466932965,0.501503756751635
27,-0.0606060606060601,0.491287259574047,230,76,77,31,0,492,0.865155466932967,-0.501503756751631,0,1,-0.865155466932968,-0.50150375675163
28,0.060606060606061,0.491287259574047,226,72,73,374,0,318,0.865155466932967,-0.501503756751632,0,1,-0.86515546693297,-0.501503756751627
29,0.0859401308766933,0.328516835581357,924,991,890,1382,1617,1947,0.0288705275271329,0.999583159442127,-0.924590574937815,-0.380962293063448,0.823538887111408,-0.567259818262587
30,-0.0163867596359184,0.207625430015151,183,17,8,207,0,259,-0.898406760663021,0.439164311385815,0.0787002536527958,-0.996898324843103,0.818773914187961,0.574116083597495
31,-0.045454545454545,0.482574519148095,229,76,230,10,27,601,0.865155466932968,0.501503756751631,-0.865155466932967,0.501503756751631,7.32747196252605e-15,-1
32,-0.121212121212121,0.491287259574047,232,78,79,356,0,436,0.865155466932966,-0.501503756751634,0,1,-0.865155466932969,-0.501503756751628
33,-0.0486630206266555,0.202307100410144,182,16,17,284,0,207,-0.955687380445132,0.294383475857464,0.233574694568232,-0.972338861743866,0.710205537105114,0.703994385677355
34,-0.430492874705799,0.37968888369674,564,410,565,631,786,1195,-0.51040064294268,0.85993673237262,-0.5117015990282,-0.859163240340265,0.999963834185937,-0.00850472340284536
35,0.135218498843535,0.158149035778538,188,53,54,310,0,20,-0.303255566035845,0.952909262033001,-0.649277368226723,-0.760551707057831,0.984334740665739,-0.176309722699888
36,3.72387306176355e-16,0.491287259574047,228,74,75,247,0,367,0.865155466932966,-0.501503756751634,0,1,-0.865155466932969,-0.501503756751629
37,-0.242424242424242,0.491287259574047,236,82,83,174,0,420,0.865155466932967,-0.501503756751632,0,1,-0.865155466932967,-0.501503756751632
38,-0.181818181818181,0.491287259574047,234,80,81,212,0,234,0.865155466932965,-0.501503756751635,0,1,-0.865155466932969,-0.501503756751629
39,-0.186630988210842,0.159357267695225,346,178,347,737,627,913,-0.0819793724064938,-0.996634026360648,0.957535331036599,0.288315954842307,-0.813541058125229,0.581507477806161
40,-0.135496453680014,0.158351529301542,179,13,14,271,0,241,-0.980011036829141,-0.198943126780172,0.649277368226723,-0.760551707057831,0.313041609466095,0.949739412019358
41,-0.303030303030303,0.491287259574047,238,84,85,458,0,242,0.865155466932968,-0.501503756751631,0,1,-0.865155466932966,-0.501503756751633
42,-0.210251653043055,0.106530213492498,345,176,177,512,455,738,-0.843281552602276,-0.537472067219027,0.880726001279483,-0.473626129632068,-0.0648101543564397,0.997897611928345
43,-0.0757575757575753,0.46514903829619,397,230,231,602,492,776,0.865155466932965,-0.501503756751636,5.49560397189452e-15,1,-0.865155466932969,-0.501503756751629
44,-0.482948371937922,0.440153497716556,245,244,19,632,359,397,0.991356939752015,0.131192294002045,-0.527965313131835,0.849265934869404,-0.415274285597628,-0.909696250251357
45,-0.483017367160761,0.493118377261771,338,90,3,392,0,340,0.905781060073428,-0.423745998461645,0,1,-0.707106781186547,-0.707106781186547
46,-0.440115757131451,0.482601114284126,242,89,243,353,391,723,0.903593786828475,0.428390322492205,-0.844026034183756,0.536302203631536,-0.127549051469853,-0.991832263777067
47,-0.482057682090101,0.41051820089209,245,20,246,397,303,398,-0.545083998629983,0.838381437316899,-0.455245785153412,-0.890365809709725,0.999552059605093,-0.0299279157178839
48,-0.410000631463485,0.481540135538775,242,241,88,426,50,353,0.0160125479719495,-0.999871790934941,0.886434296560055,0.462854445676047,-0.853537886396497,0.521030782666245
49,-0.482438504017044,0.379647007889664,246,21,247,303,63,519,-0.535819449304592,0.844332587163923,-0.476054913958412,-0.879415555295702,0.999978206077079,-0.00660207322493574
50,-0.394214199291002,0.490853833115959,241,87,88,400,0,48,0.86418794423702,-0.503169153501478,0,1,-0.886434296560055,-0.462854445676047
51,-0.318107087638451,0.430143365876578,561,560,405,1186,669,670,0.0154286841709374,-0.999880970768398,0.865155466932967,0.501503756751631,-0.872086354236324,0.489352011086904
52,-0.491287259574047,0.272727272727273,250,24,25,206,0,57,0.501503756751632,0.865155466932967,-1,-0,0.501503756751631,-0.865155466932968
53,-0.491287259574047,0.303030303030303,249,23,24,7,0,206,0.501503756751631,0.865155466932967,-1,-0,0.50150375675163,-0.865155466932968
54,-0.212121212121212,0.439010817018332,557,401,402,870,182,808,0.865155466932968,-0.501503756751631,0,1,-0.865155466932968,-0.501503756751631
55,-0.482540608061274,0.348800519805994,248,247,22,671,63,443,0.999994701033114,-0.00325544247276539,-0.522939260988175,0.852369948623918,-0.50150375675163,-0.865155466932968
56,-0.491287259574047,0.242424242424243,251,25,26,57,0,338,0.501503756751633,0.865155466932967,-1,-0,0.501503756751629,-0.865155466932969
57,-0.482574519148095,0.257575757575758,250,25,251,52,56,551,-0.501503756751631,0.865155466932968,-0.501503756751633,-0.865155466932967,1,3.66373598126302e-15
58,-0.175452107827792,0.127278080010241,178,177,12,737,59,61,-0.806733733379983,0.59091512370796,-0.00928784307649657,-0.999956867055268,0.947246460384219,0.320506073717128
59,-0.177611534196663,0.108699750751246,177,11,12,455,0,58,-0.87881048595563,-0.477170964932307,0.852691570394623,-0.522414668417677,0.00928784307649657,0.999956867055268
60,-0.456436297870237,0.242424242424243,415,414,251,567,551,743,1,-0,-0.501503756751633,0.865155466932966,-0.501503756751632,-0.865155466932967
61,-0.158325879365127,0.135161257603658,178,12,13,58,0,271,-0.947246460384219,-0.320506073717128,0.760551707057832,-0.649277368226722,0.167888489529361,0.985805992619009
62,-0.482574519148095,0.166666666666667,254,253,28,763,361,9,1,-0,-0.501503756751631,0.865155466932968,-0.501503756751631,-0.865155466932967
63,-0.491253348487227,0.363952034957509,247,21,22,49,0,55,0.476054913958412,0.879415555295702,-1,-0,0.522939260988175,-0.852369948623918
64,-0.202723456148588,0.0486468533055894,175,9,10,468,0,460,-0.682996090688799,-0.730422028764068,0.972338861743866,-0.233574694568231,-0.284618941964881,0.958640734516738
65,-0.482574519148095,0.106060606060607,255,30,256,210,175,791,-0.501503756751629,0.865155466932969,-0.501503756751634,-0.865155466932966,1,-0
66,-0.491287259574047,0.0303030303030308,258,32,33,370,0,344,0.501503756751634,0.865155466932966,-1,-0,0.50150375675163,-0.865155466932968
67,-0.46514903829619,0.136363636363637,418,254,255,648,173,792,0.501503756751631,0.865155466932967,-1,-0,0.501503756751631,-0.865155466932967
68,-0.491287259574047,-0.0303030303030298,260,34,35,300,0,285,0.501503756751635,0.865155466932965,-1,-0,0.501503756751628,-0.865155466932969
69,-0.456436297870237,0.0606060606060611,421,420,257,427,4,287,1,1.8318679906315e-15,-0.501503756751633,0.865155466932966,-0.501503756751632,-0.865155466932967
70,-0.491287259574047,-0.0909090909090904,262,36,37,286,0,74,0.501503756751634,0.865155466932966,-1,-0,0.50150375675163,-0.865155466932968
