Grid_Shape,BiCGStab_Time_s,Multigrid_Time_s
32,0.36603500000273925,0.2474279000016395
48,1.0310389999976906,0.6775925000001735
64,2.064592899998388,1.0646854000005987
128,7.910673099999258,4.9148293000034755
192,20.001180100000056,12.269213600000512
256,38.450018600000476,21.027309299999615
384,97.14517640000122,58.0106687999978
512,197.1790220000039,101.38101760000427
768,477.8625657999946,275.1525466000021
1024,835.2863370999985,474.0581869000016
1536,2243.1833554999976,1221.0941709000035
2048,4327.8335872000025,2186.6154232000044
