edgeID,n1,n2,triL,triR,len,mx,my,nLx,nLy
1,1,131,121,0,0.0303030303030305,0.484848484848485,-0.5,0,-1
2,1,141,270,0,0.0303030303030303,0.5,-0.484848484848485,1,-0
3,1,339,121,270,0.0291962526226148,0.489677565892657,-0.489677565892657,0.707106781186549,0.707106781186546
4,2,59,170,0,0.0303030303030303,0.484848484848485,0.5,0,1
5,2,172,15,0,0.0303030303030305,0.5,0.484848484848485,1,-0
6,2,340,15,170,0.0291962526226147,0.489677565892657,0.489677565892657,-0.707106781186547,0.707106781186548
7,3,18,340,0,0.0303030303030303,-0.5,0.484848484848485,-1,-0
8,3,90,45,0,0.0303030303030305,-0.484848484848485,0.5,0,1
9,3,338,45,340,0.0291962526226147,-0.489677565892657,0.489677565892657,-0.707106781186547,-0.707106781186547
10,4,49,281,0,0.0303030303030306,-0.5,-0.484848484848485,-1,-0
11,4,100,282,0,0.0303030303030303,-0.484848484848485,-0.5,0,-1
12,4,337,281,282,0.0291962526226148,-0.489677565892657,-0.489677565892657,0.707106781186548,-0.707106781186548
13,5,9,467,0,0.0314801014611184,-0.198761254014997,0.0156912302062399,0.996898324843103,-0.0787002536527958
14,5,99,6,0,0.0314801014611184,-0.198761254014997,-0.01569123020624,0.996898324843103,0.0787002536527958
15,5,173,288,467,0.030357933688005,-0.212527912575724,0.0085704399505714,0.564626040668753,0.825346856902435
16,5,174,6,288,0.0303894510867188,-0.212878086008611,-0.00806440233946945,-0.530736953191882,0.847536598924553
17,6,91,481,0,0.0314801014611184,-0.0156912302062399,-0.198761254014997,0.0787002536527959,0.996898324843103
18,6,140,111,0,0.0314801014611185,0.01569123020624,-0.198761254014997,-0.0787002536527966,0.996898324843103
19,6,203,111,328,0.0300662949399417,0.00817153136771904,-0.212618304084158,-0.839365416281806,-0.543567565211603
20,6,204,328,481,0.0301765455094103,-0.00857054796890326,-0.212417796995969,-0.823009843329944,0.568027110076641
21,7,58,403,0,0.0314801014611185,0.198761254014997,0.01569123020624,-0.996898324843103,-0.0787002536527957
22,7,132,333,0,0.0314801014611183,0.198761254014997,-0.0156912302062399,-0.996898324843103,0.0787002536527954
23,7,193,146,403,0.0303857358187142,0.212529274705259,0.0085930501378334,-0.565597633646314,0.824681342588572
24,7,194,146,333,0.0303364163613319,0.212880495482151,-0.00801045414107727,-0.528108135494061,-0.849177129475933
25,8,17,30,0,0.0314801014611184,-0.01569123020624,0.198761254014997,0.0787002536527958,-0.996898324843103
26,8,50,2,0,0.0314801014611184,0.0156912302062399,0.198761254014997,-0.0787002536527958,-0.996898324843103
27,8,183,30,259,0.0309655468696796,-0.00888890924763761,0.212676891007729,0.818773914187961,0.574116083597495
28,8,184,2,259,0.0309323111983499,0.00866214497868005,0.212812853444343,-0.828444622982244,0.560070983583159
29,9,10,64,0,0.0312437472945285,-0.193873633664251,0.0465722152529673,0.972338861743866,-0.233574694568231
30,9,173,467,468,0.0309984865303358,-0.211289166590721,0.0242616701568113,-0.459428252969704,0.888214884120507
31,9,175,64,468,0.0313525498758829,-0.208972804573629,0.0420892949116567,-0.682996090688799,-0.730422028764068
32,10,11,459,0,0.0314773248777725,-0.184201584614179,0.0763024949150444,0.923872970657515,-0.382699273697322
33,10,175,64,460,0.0315012086712327,-0.205323930207886,0.0572790497521441,-0.284618941964881,0.958640734516738
34,10,176,459,460,0.0313649634100694,-0.199961273634778,0.0740558922100273,-0.783927081682851,-0.620852905770932
35,11,12,59,0,0.0312438755681419,-0.170017280482343,0.104163714398341,0.852691570394623,-0.522414668417677
36,11,176,455,459,0.0318380289427716,-0.193938098950449,0.088596417031617,0.141126996841127,-0.989991500348667
37,11,177,59,455,0.0306423331887537,-0.185489225777577,0.104307421596846,-0.87881048595563,-0.477170964932307
38,12,13,61,0,0.0314731358238107,-0.151638753636073,0.129452882648678,0.760551707057832,-0.649277368226722
39,12,177,58,59,0.0309452253491636,-0.17732809633007,0.117628116258552,-0.00928784307649657,-0.999956867055268
40,12,178,58,61,0.0307138634667157,-0.166778140929036,0.132031208286833,0.947246460384219,0.320506073717128
41,13,14,40,0,0.0314731358238108,-0.129452882648678,0.151638753636072,0.649277368226723,-0.760551707057831
42,13,178,61,271,0.030714739829776,-0.156560743530273,0.143999681875464,0.167888489529361,0.985805992619009
43,13,179,40,271,0.0309748801333796,-0.144502475989997,0.156599218434895,-0.980011036829141,-0.198943126780172
44,14,15,183,0,0.0312438755681419,-0.104163714398341,0.170017280482342,0.522414668417677,-0.852691570394623
45,14,179,40,241,0.0316920476308761,-0.132534002401366,0.166816615833658,0.313041609466095,0.949739412019358
46,14,180,183,241,0.0293768822831473,-0.117606651283571,0.176544083496835,-0.999965368716179,-0.00832234151640086
47,15,16,283,0,0.0314773248777725,-0.0763024949150445,0.184201584614179,0.382699273697322,-0.923872970657515
48,15,180,183,249,0.0298872353816993,-0.104285956621865,0.184705212944342,0.436761910637549,0.899577141448268
49,15,181,249,283,0.0303925598934507,-0.0885093066360871,0.193194424959929,0.988137562793161,-0.153571341718404
50,16,17,33,0,0.0312437472945286,-0.0465722152529674,0.193873633664251,0.233574694568232,-0.972338861743866
51,16,181,283,284,0.0303234186645994,-0.0739687818144975,0.199217599644258,0.593128396584732,0.805107884177533
52,16,182,33,284,0.0302915735791534,-0.0573033007337432,0.204699396600219,-0.955687380445132,0.294383475857464
53,17,182,33,207,0.0304862814224031,-0.0421135458932557,0.208348270965962,0.710205537105114,0.703994385677355
54,17,183,30,207,0.0309784779056256,-0.0245801394538776,0.211438145022726,-0.898406760663021,0.439164311385815
55,18,19,359,0,0.0303030303030302,-0.5,0.454545454545455,-1,-0
56,18,244,359,360,0.0283925208542804,-0.488113768066457,0.461934798574325,0.546775762707534,0.837279084484734
57,18,338,340,360,0.0227923381540045,-0.489677565892657,0.474526050741142,0.423745998461637,-0.905781060073432
58,19,20,397,0,0.0303030303030302,-0.5,0.424242424242424,-1,-0
59,19,244,44,359,0.0279917784183128,-0.488113768066457,0.44678328342281,-0.527965313131835,0.849265934869404
60,19,245,44,397,0.0301006190930013,-0.486308789840426,0.433143932848993,-0.415274285597628,-0.909696250251357
61,20,21,303,0,0.0303030303030303,-0.5,0.393939393939394,-1,-0
62,20,245,47,397,0.0326610527145981,-0.486308789840426,0.417992417697478,-0.545083998629983,0.838381437316899
63,20,246,47,303,0.0297007512217601,-0.486777733294725,0.402330338186111,-0.455245785153412,-0.890365809709725
64,21,22,63,0,0.0303030303030302,-0.5,0.363636363636364,-1,-0
65,21,246,49,303,0.0313200435617149,-0.486777733294725,0.387178823034596,-0.535819449304592,0.844332587163923
66,21,247,49,63,0.0298379467821631,-0.48688002273084,0.37168562819384,-0.476054913958412,-0.879415555295702
67,22,23,443,0,0.0303030303030302,-0.5,0.333333333333334,-1,-0
68,22,247,55,63,0.030784701620091,-0.48688002273084,0.356534113042325,-0.522939260988175,0.852369948623918
69,22,248,55,443,0.0302121668034062,-0.486930889361071,0.340909090909091,-0.50150375675163,-0.865155466932968
70,23,24,53,0,0.0303030303030302,-0.5,0.303030303030303,-1,-0
71,23,248,7,443,0.0302121668034062,-0.486930889361071,0.325757575757576,-0.501503756751631,0.865155466932967
72,23,249,7,53,0.0302121668034062,-0.486930889361071,0.310606060606061,-0.501503756751631,-0.865155466932967
73,24,25,52,0,0.0303030303030302,-0.5,0.272727272727273,-1,-0
74,24,249,53,206,0.0302121668034062,-0.486930889361071,0.295454545454546,0.50150375675163,-0.865155466932968
75,24,250,52,206,0.0302121668034062,-0.486930889361071,0.280303030303031,0.501503756751632,0.865155466932967
76,25,26,56,0,0.0303030303030303,-0.5,0.242424242424243,-1,-0
77,25,250,52,57,0.0302121668034061,-0.486930889361071,0.265151515151516,0.501503756751631,-0.865155466932968
78,25,251,56,57,0.0302121668034063,-0.486930889361071,0.25,0.501503756751633,0.865155466932967
79,26,27,337,0,0.0303030303030303,-0.5,0.212121212121213,-1,-0
80,26,251,56,338,0.0302121668034062,-0.486930889361071,0.234848484848485,0.501503756751629,-0.865155466932969
81,26,252,337,338,0.0302121668034063,-0.486930889361071,0.21969696969697,0.501503756751631,0.865155466932967
82,27,28,361,0,0.0303030303030303,-0.5,0.181818181818182,-1,-0
83,27,252,337,362,0.0302121668034063,-0.486930889361071,0.204545454545455,0.501503756751631,-0.865155466932968
84,27,253,361,362,0.0302121668034062,-0.486930889361071,0.18939393939394,0.501503756751634,0.865155466932966
85,28,29,9,0,0.0303030303030302,-0.5,0.151515151515152,-1,-0
86,28,253,62,361,0.0302121668034062,-0.486930889361071,0.174242424242425,-0.501503756751631,0.865155466932968
87,28,254,9,62,0.0302121668034062,-0.486930889361071,0.15909090909091,0.501503756751631,0.865155466932967
88,29,30,210,0,0.0303030303030303,-0.5,0.121212121212122,-1,-0
89,29,254,9,173,0.0302121668034062,-0.486930889361071,0.143939393939394,0.501503756751631,-0.865155466932968
90,29,255,173,210,0.0302121668034063,-0.486930889361071,0.128787878787879,-0.501503756751635,-0.865155466932965
91,30,31,175,0,0.0303030303030303,-0.5,0.0909090909090915,-1,-0
92,30,255,65,210,0.0302121668034062,-0.486930889361071,0.113636363636364,-0.501503756751629,0.865155466932969
93,30,256,65,175,0.0302121668034063,-0.486930889361071,0.098484848484849,-0.501503756751634,-0.865155466932966
94,31,32,369,0,0.0303030303030303,-0.5,0.0606060606060612,-1,-0
95,31,256,175,176,0.0302121668034061,-0.486930889361071,0.0833333333333339,0.501503756751628,-0.865155466932969
96,31,257,176,369,0.0302121668034063,-0.486930889361071,0.0681818181818187,-0.501503756751634,-0.865155466932966
97,32,33,66,0,0.0303030303030303,-0.5,0.0303030303030308,-1,-0
98,32,257,369,370,0.0302121668034062,-0.486930889361071,0.0530303030303036,0.50150375675163,-0.865155466932968
99,32,258,66,370,0.0302121668034063,-0.486930889361071,0.0378787878787884,0.501503756751634,0.865155466932966
100,33,34,343,0,0.0303030303030302,-0.5,5.58580959264532e-16,-1,-0
101,33,258,66,344,0.0302121668034062,-0.486930889361071,0.0227272727272732,0.50150375675163,-0.865155466932968
102,33,259,343,344,0.0302121668034063,-0.486930889361071,0.00757575757575806,0.501503756751633,0.865155466932966
103,34,35,68,0,0.0303030303030303,-0.5,-0.0303030303030297,-1,-0
104,34,259,300,343,0.0302121668034062,-0.486930889361071,-0.00757575757575706,-0.501503756751627,0.86515546693297
105,34,260,68,300,0.0302121668034063,-0.486930889361071,-0.0227272727272722,0.501503756751635,0.865155466932965
106,35,36,222,0,0.0303030303030303,-0.5,-0.06060606060606,-1,-0
107,35,260,68,285,0.0302121668034061,-0.486930889361071,-0.0378787878787874,0.501503756751628,-0.865155466932969
108,35,261,222,285,0.0302121668034063,-0.486930889361071,-0.0530303030303025,0.501503756751635,0.865155466932965
109,36,37,70,0,0.0303030303030304,-0.5,-0.0909090909090904,-1,-0
110,36,261,222,286,0.0302121668034061,-0.486930889361071,-0.0681818181818176,0.501503756751628,-0.865155466932969
111,36,262,70,286,0.0302121668034063,-0.486930889361071,-0.0833333333333328,0.501503756751634,0.865155466932966
112,37,38,264,0,0.0303030303030302,-0.5,-0.121212121212121,-1,-0
113,37,262,70,74,0.0302121668034062,-0.486930889361071,-0.098484848484848,0.50150375675163,-0.865155466932968
114,37,263,74,264,0.0302121668034062,-0.486930889361071,-0.113636363636363,-0.501503756751633,-0.865155466932966
115,38,39,465,0,0.0303030303030303,-0.5,-0.151515151515151,-1,-0
116,38,263,264,312,0.0302121668034061,-0.486930889361071,-0.128787878787878,0.501503756751631,-0.865155466932968
117,38,264,312,465,0.0302121668034063,-0.486930889361071,-0.143939393939393,-0.501503756751632,-0.865155466932967
118,39,40,289,0,0.0303030303030303,-0.5,-0.181818181818181,-1,-0
119,39,264,465,466,0.0302121668034063,-0.486930889361071,-0.159090909090909,0.501503756751631,-0.865155466932968
120,39,265,289,466,0.0302121668034062,-0.486930889361071,-0.174242424242424,0.501503756751632,0.865155466932967
121,40,41,77,0,0.0303030303030303,-0.5,-0.212121212121212,-1,-0
122,40,265,76,289,0.0302121668034062,-0.486930889361071,-0.189393939393939,-0.501503756751633,0.865155466932966
123,40,266,76,77,0.0302121668034062,-0.486930889361071,-0.204545454545454,-0.501503756751629,-0.865155466932969
124,41,42,297,0,0.0303030303030304,-0.5,-0.242424242424242,-1,-0
125,41,266,77,232,0.0302121668034063,-0.486930889361071,-0.219696969696969,0.501503756751632,-0.865155466932967
126,41,267,232,297,0.0302121668034063,-0.486930889361071,-0.234848484848484,-0.501503756751634,-0.865155466932966
127,42,43,225,0,0.0303030303030302,-0.5,-0.272727272727272,-1,-0
128,42,267,297,298,0.0302121668034063,-0.486930889361071,-0.25,0.501503756751631,-0.865155466932968
129,42,268,225,298,0.0302121668034062,-0.486930889361071,-0.265151515151515,0.501503756751632,0.865155466932967
130,43,44,89,0,0.0303030303030304,-0.5,-0.303030303030303,-1,-0
131,43,268,79,225,0.0302121668034061,-0.486930889361071,-0.28030303030303,-0.501503756751631,0.865155466932968
132,43,269,79,89,0.0302121668034063,-0.486930889361071,-0.295454545454545,-0.501503756751632,-0.865155466932967
133,44,45,92,0,0.0303030303030303,-0.5,-0.333333333333333,-1,-0
134,44,269,89,93,0.0302121668034063,-0.486930889361071,-0.31060606060606,0.501503756751632,-0.865155466932967
135,44,270,92,93,0.0302121668034062,-0.486930889361071,-0.325757575757575,0.50150375675163,0.865155466932968
136,45,46,409,0,0.0303030303030304,-0.5,-0.363636363636363,-1,-0
137,45,270,84,92,0.0302121668034062,-0.486930889361071,-0.34090909090909,-0.501503756751633,0.865155466932966
138,45,271,84,409,0.031912405368801,-0.486231376574615,-0.356548682131173,-0.505372976629855,-0.862901010830489
139,46,47,192,0,0.0303030303030303,-0.5,-0.393939393939394,-1,-0
140,46,271,409,410,0.0309716141102842,-0.486231376574615,-0.371700197282688,0.457688868261919,-0.88911242251423
141,46,272,192,410,0.0312472755933111,-0.486505809871104,-0.386662197219736,0.504000318897776,0.863703466793401
142,47,48,191,0,0.0303030303030304,-0.5,-0.424242424242424,-1,-0
143,47,272,192,365,0.030662730428413,-0.486505809871104,-0.401813712371251,0.474660711422759,-0.880168852568438
144,47,273,191,365,0.0323703531104557,-0.486144582530046,-0.417456753152161,0.516883089455685,0.856055998071824
145,48,49,421,0,0.0303030303030304,-0.5,-0.454545454545454,-1,-0
146,48,273,85,191,0.0308556591510827,-0.486144582530046,-0.432608268303676,-0.439833163637031,0.898079499913588
147,48,274,85,421,0.027991778418313,-0.488113768066457,-0.44678328342281,-0.527965313131841,-0.8492659348694
148,49,274,421,422,0.0283925208542804,-0.488113768066457,-0.461934798574325,0.54677576270753,-0.837279084484736
149,49,337,281,422,0.0227923381540047,-0.489677565892657,-0.474526050741142,0.423745998461641,0.90578106007343
150,50,51,248,0,0.0312437472945286,0.0465722152529673,0.193873633664251,-0.233574694568231,-0.972338861743866
151,50,184,2,275,0.0314232707183132,0.02435337518492,0.21157410745934,0.894343530010512,0.447380878366896
152,50,185,248,275,0.0310818274786267,0.0420306024378957,0.208842272659144,-0.72838475388449,0.685168337205268
153,51,52,463,0,0.0314773248777724,0.0763024949150444,0.184201584614179,-0.382699273697323,-0.923872970657515
154,51,185,248,464,0.0312849101211083,0.0572203572783831,0.205193398293401,0.95692389314512,0.290338875674592
155,51,186,463,464,0.0319091387578217,0.0741346886884286,0.200297699218713,-0.631351412938802,0.77549686871075
156,52,53,309,0,0.031243875568142,0.104163714398341,0.170017280482343,-0.522414668417677,-0.852691570394623
157,52,186,341,463,0.0324828748234184,0.0886752135100182,0.194274524534384,-0.991052343244582,-0.13347379124541
158,52,187,309,341,0.0298872353816992,0.104285956621864,0.184705212944342,-0.436761910637552,0.899577141448267
159,53,54,35,0,0.0314731358238107,0.129452882648678,0.151638753636073,-0.649277368226723,-0.760551707057831
160,53,187,309,310,0.0293768822831474,0.117606651283571,0.176544083496835,0.999965368716179,-0.00832234151639518
161,53,188,35,310,0.0307115518121482,0.132117070146648,0.166512875549152,-0.303255566035845,0.952909262033001
162,54,55,213,0,0.0314731358238108,0.151638753636072,0.129452882648678,-0.76055170705783,-0.649277368226724
163,54,188,20,35,0.0302216741898578,0.14408554373528,0.156295478150389,-0.984334740665739,0.176309722699888
164,54,189,20,213,0.0304507802753487,0.1563969634023,0.144167934997197,0.180394639155513,-0.983594313812332
165,55,56,351,0,0.031243875568142,0.170017280482343,0.104163714398341,-0.852691570394623,-0.522414668417677
166,55,189,213,352,0.0309304591494581,0.166614360801063,0.132199461408566,0.951492655017803,-0.307671460241557
167,55,190,351,352,0.0293768822831471,0.176544083496835,0.117606651283571,-0.00832234151640659,0.999965368716179
168,56,57,385,0,0.0314773248777723,0.184201584614179,0.0763024949150445,-0.923872970657515,-0.382699273697322
169,56,190,156,351,0.0298872353816994,0.184705212944342,0.104285956621865,-0.899577141448272,0.436761910637541
170,56,191,156,385,0.0300303810847276,0.193004326566954,0.0884664375493042,-0.158278523381012,-0.987394505269462
171,57,58,193,0,0.0312437472945286,0.193873633664251,0.0465722152529674,-0.972338861743866,-0.233574694568232
172,57,191,385,386,0.0300299694503145,0.199027501251283,0.0739259127277146,0.810120213700872,-0.586263796727423
